"Compound","PubChem ID","Affinity"
"Isorhamnetin 3-apiosyl-(1->2)-galactoside",44259393,-6.5
"Quercetin 5-caprylate",49785931,-6.5
"5-Hydroxy-2-[3-hydroxy-4-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]-3,7-bis[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]chromen-4-one",74978175,-6.5
"CID 133053381",133053381,-6.5
"Quercetin 3-glucosyl-(1->2)-galactosyl-(1->2)-glucoside",44259285,-6.4
"Quercetin 3-glucosyl-(1->4)-rhamnoside-7-rutinoside",44259296,-6.4
"Isorhamnetin 3-(3'''-ferulylrobinobioside)",44259354,-6.4
"Tamarixetin 3-galactoside",44259408,-6.4
"2-(3,4-Diethoxyphenyl)-3,7-diethoxy-5-hydroxy-2,3-dihydrochromen-4-one",67653395,-6.4
"CID 90657568",90657568,-6.4
"CID 90659023",90659023,-6.4
"CID 145865164",145865164,-6.4
"[2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl] hexadecanoate",5482944,-6.3
"2-[3,4-Bis(methoxymethoxy)phenyl]-5-hydroxy-3,7-bis(methoxymethoxy)chromen-4-one",11340548,-6.3
"Quercetin 3-(4''-(E)-p-coumarylrobinobioside)-7-rhamnoside",44259134,-6.3
"Quercetin 3-glucosyl-(1->2)-galactoside-7-glucoside",44259291,-6.3
"2-[3,4-Bis(prop-2-enoxy)phenyl]-5-hydroxy-3,7-bis(prop-2-enoxy)-2,3-dihydrochromen-4-one",70695241,-6.3
"CID 131752835",131752835,-6.3
"[(2R,3S,4S,5R,6S)-3,4,5-Triacetyloxy-6-[5,7-diacetyloxy-2-(3,4-diacetyloxyphenyl)-4-oxochromen-3-yl]oxyoxan-2-yl]methyl acetate",14283880,-6.2
"Quercetin 3-(6''''-sinapylsophorotrioside)",44259202,-6.2
"Quercetin 3-(2-feruloylsophoroside) 7-glucoside",44259208,-6.2
"Quercetin 3-glucosyl-(1->3)-galactoside",44259279,-6.2
"2-(3,4-Dipropoxyphenyl)-5-hydroxy-3,7-dipropoxy-2,3-dihydrochromen-4-one",70688939,-6.2
"CID 131752951",131752951,-6.2
"CID 131753093",131753093,-6.2
"Quercetin 3-(2''-glucosylgalactoside) 7-glucoside",12960454,-6.1
"Quercetin 3-(6''''-caffeylsophorotrioside)",44259200,-6.1
"Quercetin 3-(6''-(E)-p-coumaroylsophoroside)-7-rhamnoside",44259311,-6.1
"Capilliposide I",44259319,-6.1
"Isorhamnetin 3-rhamnosyl-(1->6)-[rhamnosyl-(1->2)-(3'''-(E)-p-coumaroylgalactoside]-7-rhamnoside",44259404,-6.1
"CID 101499934",101499934,-6.1
"Quercetin 3-(2G-rhamnosylrutinoside)-7-glucoside",44259185,-6
"Quercetin 3-rutinoside-7,3'-diglucoside",44259186,-6
"Quercetin 3,3',4'-triglucoside",44259293,-6
"CID 101499933",101499933,-6
"Quercetin 3-(6''''-feruloylglucosyl)-(1->2)-galactosyl-(1->2)-glucoside",44259309,-5.9
"CID 101499932",101499932,-5.9
"Quercetin 3-(6-[4-glucosyl-p-coumaryl]glucosyl)(1->2)-rhamnoside",44259264,-5.8
"Quercetin 3-rutinoside 3',7-diglucoside",74978176,-5.8
"Quercetin 3-(glucosyl-(1->4)-rhamnoside) 7-rutinoside",74978230,-5.8
"CID 131752833",131752833,-5.8
"Quercetin 3-(6''''-ferulylsophorotrioside)",44259201,-5.6
"Quercetin 3-(2'''-ferulylsambubioside)-7-glucoside",44259205,-5.5
"Quercetin 3-[(6''-feruloylglucosyl)-(1->2)-beta-arabinopyranoside]-7-glucoside",44259315,-5.5
"Quercetin 3-rhamnosyl-(1->6)-[rhamnosyl-(1->2)-(3''-(E)-p-coumaroylgalactoside)]-7-rhamnoside",44259318,-4.8
"Quercetin 3-(2''-sinapoylglucoside)-3'-(6''-sinapoylglucoside)-4'-glucoside",44259317,-3.3
