"Compound","DrugBank ID","Affinity"
"N-{[6-(PENTYLOXY)NAPHTHALEN-2-YL]SULFONYL}-D-GLUTAMIC ACID","DB08107",-6.7
"1,1,1-TRIFLUORO-3-((N-ACETYL)-L-LEUCYLAMIDO)-4-PHENYL-BUTAN-2-ONE(N-ACETYL-L-LEUCYL-L-PHENYLALANYL TRIFLUOROMETHYL KETONE)","DB08119",-6.7
"4-(4-methoxy-1H-pyrrolo[2,3-b]pyridin-3-yl)pyrimidin-2-amine","DB08178",-6.7
"2-[(4-ETHYNYL-2-FLUOROPHENYL)AMINO]-3,4-DIFLUORO-N-(2-HYDROXYETHOXY)BENZAMIDE","DB08208",-6.7
"2-(4-DIMETHYLAMINOPHENYL)DIAZENYLBENZOIC ACID","DB08209",-6.7
"2-AMINO-4-FLUORO-5-[(1-METHYL-1H-IMIDAZOL-2-YL)SULFANYL]-N-(1,3-THIAZOL-2-YL)BENZAMIDE","DB08210",-6.7
"(2S)-2-(3-bromophenyl)-3-(5-chloro-2-hydroxyphenyl)-1,3-thiazolidin-4-one","DB08236",-6.7
"4-[4-(2,5-DIOXO-PYRROLIDIN-1-YL)-PHENYLAMINO]-4-HYDROXY-BUTYRIC ACID","DB08378",-6.7
"4-NITRO-BENZYLPHOSPHONOBUTANOYL-GLYCINE","DB08409",-6.7
"2-AMINO-6-(3,5-DIMETHYLPHENYL)SULFONYLBENZONITRILE","DB08528",-6.7
"3-[(3-(2-CARBOXYETHYL)-4-METHYLPYRROL-2-YL)METHYLENE]-2-INDOLINONE","DB08577",-6.7
"4-[(4-bromo-2-{[(3R,5S)-3,5-dimethylpiperidin-1-yl]carbonyl}phenyl)amino]-4-oxobutanoic acid","DB08581",-6.7
"2-[(2',3',4'-TRIFLUOROBIPHENYL-2-YL)OXY]ETHANOL","DB08611",-6.7
"2-[4-(DIMETHYLAMINO)PHENYL]-6-HYDROXY-3-METHYL-1,3-BENZOTHIAZOL-3-IUM","DB08615",-6.7
"3-(5-amino-3-imino-3H-pyrazol-4-ylazo)-benzoic acid","DB08668",-6.7
"2-METHYL-FURAN-3-CARBOTHIOIC ACID [4-CHLORO-3-(3-METHYL-BUT-2-ENYLOXY)-PHENYL]-AMIDE","DB08679",-6.7
"6-(5-BROMO-2-HYDROXYPHENYL)-2-OXO-4-PHENYL-1,2-DIHYDROPYRIDINE-3-CARBONITRILE","DB08705",-6.7
"5-(2-chlorophenyl)furan-2-carbohydrazide","DB08757",-6.7
"BENZOYL-TYROSINE-ALANINE-METHYL KETONE","DB08775",-6.7
"Diloxanide","DB08792",-6.7
"Pitavastatin","DB08860",-6.7
"Rilpivirine","DB08864",-6.7
"Indalpine","DB08953",-6.7
"Cephaloridine","DB09008",-6.7
"Flutemetamol (18F)","DB09151",-6.7
"Lobeglitazone","DB09198",-6.7
"Trimazosin","DB09206",-6.7
"Cilnidipine","DB09232",-6.7
"Tianeptine","DB09289",-6.7
"Tenofovir alafenamide","DB09299",-6.7
"Ioxaglic acid","DB09313",-6.7
"Avobenzone","DB09495",-6.7
"Riboflavin","DB00140",-6.6
"Guanadrel","DB00226",-6.6
"Liothyronine","DB00279",-6.6
"Methylergometrine","DB00353",-6.6
"Aztreonam","DB00355",-6.6
"Trihexyphenidyl","DB00376",-6.6
"Trimethoprim","DB00440",-6.6
"Nitazoxanide","DB00507",-6.6
"Carteolol","DB00521",-6.6
"Tigecycline","DB00560",-6.6
"Carbamazepine","DB00564",-6.6
"Voriconazole","DB00582",-6.6
"Enalapril","DB00584",-6.6
"Diclofenac","DB00586",-6.6
"Clofarabine","DB00631",-6.6
"Pentazocine","DB00652",-6.6
"Benzquinamide","DB00767",-6.6
"Hydroflumethiazide","DB00774",-6.6
"Ritodrine","DB00867",-6.6
"Bumetanide","DB00887",-6.6
"Dienestrol","DB00890",-6.6
"Netilmicin","DB00955",-6.6
"Bromfenac","DB00963",-6.6
"Physostigmine","DB00981",-6.6
"Frovatriptan","DB00998",-6.6
"Ketoprofen","DB01009",-6.6
"Anisindione","DB01125",-6.6
"Rabeprazole","DB01129",-6.6
"Kava","DB01322",-6.6
"Spirapril","DB01348",-6.6
"Etorphine","DB01497",-6.6
"(3r)-4-(P-Toluenesulfonyl)-1,4-Thiazane-3-Carboxylicacid-L-Phenylalanine Ethyl Ester","DB01712",-6.6
"Dalfopristin","DB01764",-6.6
"Compound 12, N-Acetyl-4-[(Carboxycarbonyl)(2-Carboxyphenyl)Amino]-N-Pentyl-1-Napthylalaniamide","DB01820",-6.6
"L-N(Omega)-Nitroarginine-2,4-L-Diaminobutyric Amide","DB01821",-6.6
"Hyperforin","DB01892",-6.6
"L-Histidine Beta Naphthylamide","DB01938",-6.6
"4-Carbamoyl-1-Beta-D-Ribofuranosyl-Imidazolium-5-Olate-5'-Phosphate","DB01945",-6.6
"N7-Methyl-Formycin A","DB02066",-6.6
"2-Chlorodideoxyadenosine","DB02103",-6.6
"[3,5-Dibromo-4-(4-Hydroxy-3-Phenethylcarbamoyl-Phenoxy)-Phenyl]-Acetic Acid","DB02106",-6.6
"Atrazine Glutathione Conjugate","DB02146",-6.6
"Hydroxy-Phenyl-Acetic Acid 8-Methyl-8-Aza-Bicyclo[3.2.1]Oct-3-Yl Ester","DB02161",-6.6
"Hydrolyzed Cephalothin","DB02247",-6.6
"4-{2-(4-Fluoro-Benzyl)-6-Methyl-5-[(5-Methyl-Isoxazole-3-Carbonyl)-Amino]-4-Oxo-Heptanoylamino}-5-(2-Oxo-Pyrrolidin-3-Yl)-Pentanoic Acid Ethyl Ester","DB02313",-6.6
"Heparin Disaccharide I-S","DB02322",-6.6
"Tolrestat","DB02383",-6.6
"5-Bromo-N[2-(Dimethylamino)Ethyl]-9-Aminoacridine-4-Carboxamide","DB02390",-6.6
"2-Acetyl-3-[(4-Amino-2-Methyl-5-Pyrimidinyl)Methyl]-4-Methyl-5-(4,6,6-Trihydroxy-3,5-Dioxa-4,6-Diphosphahex-1-Yl)Thiazolium Inner Salt P,P'-Dioxide","DB02410",-6.6
"Adenosine Phosphonoacetic Acid","DB02607",-6.6
"Sp7343-Sp7964","DB02620",-6.6
"Selenoinosine","DB02753",-6.6
"Guanosine","DB02857",-6.6
"3-(4-Carbamoyl-1-Carboxy-2-Methylsulfonyl-Buta-1,3-Dienylamino)-Indolizine-2-Carboxylic Acid","DB02876",-6.6
"2',3'-Dideoxycytidine-5'-Monophosphate","DB02883",-6.6
"Propionyl Coenzyme A","DB02912",-6.6
"6-(4-Difluoromethoxy-3-Methoxy-Phenyl)-2h-Pyridazin-3-One","DB02918",-6.6
"(South)-Methanocarba-Thymidine","DB02921",-6.6
"4-(1-Benzyl-3-Carbamoylmethyl-2-Methyl-1h-Indol-5-Yloxy)-Butyric Acid","DB02936",-6.6
"Orotidine-5'-Monophosphate","DB02957",-6.6
"2-[(2-Oxo-2-Piperidin-1-Ylethyl)Thio]-6-(Trifluoromethyl)Pyrimidin-4(1h)-One","DB03009",-6.6
"Adenosine-5'-(Dithio)Phosphate","DB03011",-6.6
"1,8-Di-Hydroxy-4-Nitro-Anthraquinone","DB03035",-6.6
"1-Benzyl-5-Methoxy-2-Methyl-1h-Indol-3-Yl)-Acetic Acid","DB03121",-6.6
"2,4-Diamino-5-(3,4,5-Trimethoxy-Benzyl)-Pyrimidin-1-Ium","DB03125",-6.6
"S-P-Nitrobenzyloxycarbonylglutathione","DB03130",-6.6
"1-(2-Deoxy-2-Fluoro-3-O-Phosphono-Beta-L-Ribofuranosyl)Pyrimidine-2,4(1h,3h)-Dione","DB03155",-6.6
"N-Octanoyl-B-D-Fructofuranosyl-a-D-Glucopyranoside,Sucrose Monocaproylate","DB03190",-6.6
"Nicotinamide Mononucleotide","DB03227",-6.6
"2'-O-Methyl-3'-Methyl-3'-Deoxy-Arabinofuranosyl-Thymine-5'-Phosphate","DB03249",-6.6
"4-[(6-Amino-4-Pyrimidinyl)Amino]Benzenesulfonamide","DB03307",-6.6
"4-[3-Hydroxyanilino]-6,7-Dimethoxyquinazoline","DB03365",-6.6
"Bestatin","DB03424",-6.6
"Cephalothin Group","DB03450",-6.6
"4-Acetyl-4-Guanidino-6-Methyl(Propyl)Carboxamide-4,5-Dihydro-2h-Pyran-2-Carboxylic Acid","DB03503",-6.6
"9-Beta-D-Xylofuranosyl-Adenine","DB03528",-6.6
"[4-(4-Hydroxy-Benzyl)-2-(2-Hydroxy-1-Methyl-Ethyl)-5-Oxo-Imidazolidin-1-Yl]-Acetic Acid","DB03537",-6.6
"4-Hydroxyphenacyl Coenzyme A","DB03613",-6.6
"S-(P-Nitrobenzyl)Glutathione","DB03686",-6.6
"5-Fluoro-2'-Deoxyuridine-5'-Monophosphate","DB03761",-6.6
"2'-Deoxycytidine-5'-Monophosphate","DB03798",-6.6
"Pseudouridine-5'-Monophosphate","DB03829",-6.6
"P1-(5'-Adenosyl)P5-(5'-(3'azido-3'-Deoxythymidyl))Pentaphosphate","DB03845",-6.6
"N-[2-(1-Formyl-2-Methyl-Propyl)-1-(4-Piperidin-1-Yl-but-2-Enoyl)-Pyrrolidin-3-Yl]-Methanesulfonamide","DB03890",-6.6
"4-(Fluorophenyl)-1-Cyclopropylmethyl-5-(2-Amino-4-Pyrimidinyl)Imidazole","DB03980",-6.6
"6-Methyl-Formycin A","DB03986",-6.6
"5-Amino-5-Deoxy-Cellobiono-1,5-Lactam","DB04096",-6.6
"Degraded Cephaloridine","DB04133",-6.6
"(R)-Rolipram","DB04149",-6.6
"Phosporic Acid Mono-[3,4-Dihydroxy-5-(5-Methoxy-Benzoimidazol-1-Yl)-Tetrahydro-Furan-2-Ylmethyl] Ester","DB04176",-6.6
"Chitotriose","DB04194",-6.6
"Beta-1,4-Galactotrioside","DB04248",-6.6
"Methylumbelliferyl Chitotriose","DB04268",-6.6
"Inosine","DB04335",-6.6
"3-Nitro-4-(2-Oxo-Pyrrolidin-1-Yl)-Benzenesulfonamide","DB04394",-6.6
"2-Fluoroadenosine","DB04441",-6.6
"3-Deaza-Adenosine","DB04546",-6.6
"8-Bromoadenosine-5'-Diphosphate","DB04554",-6.6
"N-METHYLALANYL-3-METHYLVALYL-4-PHENOXY-N-(1,2,3,4-TETRAHYDRONAPHTHALEN-1-YL)PROLINAMIDE","DB04612",-6.6
"IMIDAZOPYRIDAZIN 1","DB04715",-6.6
"Cyclandelate","DB04838",-6.6
"Lobeline","DB05137",-6.6
"CA4P","DB05284",-6.6
"UC-781","DB05871",-6.6
"Nepafenac","DB06802",-6.6
"(2R)-N~4~-hydroxy-2-(3-hydroxybenzyl)-N~1~-[(1S,2R)-2-hydroxy-2,3-dihydro-1H-inden-1-yl]butanediamide","DB06837",-6.6
"N,N-DIMETHYL-4-(4-PHENYL-1H-PYRAZOL-3-YL)-1H-PYRROLE-2-CARBOXAMIDE","DB06877",-6.6
"D-leucyl-N-(3-chlorobenzyl)-L-prolinamide","DB06911",-6.6
"(2R,3R)-3-{[3,5-BIS(TRIFLUOROMETHYL)PHENYL]AMINO}-2-CYANO-3-THIOXOPROPANAMIDE","DB06913",-6.6
"5-(5-CHLORO-2,4-DIHYDROXYPHENYL)-N-ETHYL-4-(4-METHOXYPHENYL)ISOXAZOLE-3-CARBOXAMIDE","DB06964",-6.6
"(5S)-2-{[(1S)-1-(4-fluorophenyl)ethyl]amino}-5-(1-hydroxy-1-methylethyl)-5-methyl-1,3-thiazol-4(5H)-one","DB07017",-6.6
"2-(4-HYDROXY-PHENYL)BENZOFURAN-5-OL","DB07032",-6.6
"7-amino-2-tert-butyl-4-(4-pyrimidin-2-ylpiperazin-1-yl)pyrido[2,3-d]pyrimidine-6-carboxamide","DB07043",-6.6
"5'-S-ethyl-5'-thioadenosine","DB07052",-6.6
"4-tert-butyl-N'-[(1E)-(3,5-dibromo-2,4-dihydroxyphenyl)methylidene]benzohydrazide","DB07097",-6.6
"N-[4-(benzyloxy)phenyl]glycinamide","DB07099",-6.6
"1-(2-DEOXY-5-O-PHOSPHONO-BETA-D-ERYTHRO-PENTOFURANOSYL)-4-METHYL-1H-INDOLE","DB07116",-6.6
"N7-BUTYL-N2-(5-CHLORO-2-METHYLPHENYL)-5-METHYL[1,2,4]TRIAZOLO[1,5-A]PYRIMIDINE-2,7-DIAMINE","DB07128",-6.6
"(2S)-3-[(9H-fluoren-9-ylideneamino)oxy]-2-methylpropanoic acid","DB07201",-6.6
"6-CHLORO-9-HYDROXY-1,3-DIMETHYL-1,9-DIHYDRO-4H-PYRAZOLO[3,4-B]QUINOLIN-4-ONE","DB07218",-6.6
"N-{[4-(but-2-yn-1-yloxy)phenyl]sulfonyl}-5-methyl-D-tryptophan","DB07233",-6.6
"7-PYRIDIN-2-YL-N-(3,4,5-TRIMETHOXYPHENYL)-7H-PYRROLO[2,3-D]PYRIMIDIN-2-AMINE","DB07248",-6.6
"N-(4-AMINO-5-CYANO-6-ETHOXYPYRIDIN-2-YL)-2-(4-BROMO-2,5-DIMETHOXYPHENYL)ACETAMIDE","DB07272",-6.6
"5-[2-(TRIFLUOROMETHOXY)PHENYL]-2-FUROIC ACID","DB07304",-6.6
"(2-ACETYL-5-METHYLANILINO)(2,6-DIBROMOPHENYL)ACETAMIDE","DB07327",-6.6
"1-(adamantan-1-yl)-2-(1H-imidazol-1-yl)ethanone","DB07342",-6.6
"(2S)-2-({6-[(3-AMINO-5-CHLOROPHENYL)AMINO]-9-ISOPROPYL-9H-PURIN-2-YL}AMINO)-3-METHYLBUTAN-1-OL","DB07379",-6.6
"(1R)-4-(3-phenoxyphenyl)-1-phosphonobutane-1-sulfonic acid","DB07420",-6.6
"6-(3-AMINOPROPYL)-4,9-DIMETHYLPYRROLO[3,4-C]CARBAZOLE-1,3(2H,6H)-DIONE","DB07444",-6.6
"N-[(1S)-1-(AMINOCARBONYL)-4-(ETHANIMIDOYLAMINO)BUTYL]BENZAMIDE","DB07449",-6.6
"N-{(1S,2R)-2-hydroxy-1-[(hydroxyamino)carbonyl]propyl}-4-{[4-(morpholin-4-ylmethyl)phenyl]ethynyl}benzamide","DB07536",-6.6
"S-{3-[(4-ANILINOQUINAZOLIN-6-YL)AMINO]-3-OXOPROPYL}-L-CYSTEINE","DB07602",-6.6
"N-[4-(3-BROMO-PHENYLAMINO)-QUINAZOLIN-6-YL]-ACRYLAMIDE","DB07662",-6.6
"(2S)-2-ETHOXY-3-{4-[2-(10H-PHENOXAZIN-10-YL)ETHOXY]PHENYL}PROPANOIC ACID","DB07675",-6.6
"3-CHLORO-2-(4-HYDROXYPHENYL)-2H-INDAZOL-5-OL","DB07708",-6.6
"(2Z,3E)-2,3'-BIINDOLE-2',3(1H,1'H)-DIONE 3-{O-[(3R)-3,4-DIHYDROXYBUTYL]OXIME}","DB07766",-6.6
"4-[3-(4-FLUOROPHENYL)-1H-PYRAZOL-4-YL]PYRIDINE","DB07829",-6.6
"6-CHLORO-4-(CYCLOHEXYLOXY)-3-PROPYLQUINOLIN-2(1H)-ONE","DB07867",-6.6
"3-(4-HYDROXYPHENYL)-4,5-DIHYDRO-5-ISOXAZOLE-ACETIC ACID METHYL ESTER","DB07888",-6.6
"N-{3-METHYL-5-[2-(PYRIDIN-4-YLAMINO)-ETHOXY]-PHENYL}-BENZENESULFONAMIDE","DB07944",-6.6
"N-[1H-INDOL-3-YL-ACETYL]ASPARTIC ACID","DB07951",-6.6
"1-(4-IODOBENZOYL)-5-METHOXY-2-METHYL INDOLE-3-ACETIC ACID","DB07983",-6.6
"1-cyclobutyl-3-(3,4-dimethoxyphenyl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine","DB08053",-6.6
"N-(3-TERT-BUTYL-1H-PYRAZOL-5-YL)-N'-{4-CHLORO-3-[(PYRIDIN-3-YLOXY)METHYL]PHENYL}UREA","DB08064",-6.6
"4-(2-AMINOETHOXY)-3,5-DICHLORO-N-[3-(1-METHYLETHOXY)PHENYL]BENZAMIDE","DB08072",-6.6
"2-(1,3-thiazol-4-yl)-1H-benzimidazole-5-sulfonamide","DB08083",-6.6
"2-(methylamino)-N-(4-methyl-1,3-thiazol-2-yl)-5-[(4-methyl-4H-1,2,4-triazol-3-yl)sulfanyl]benzamide","DB08118",-6.6
"4-{[(2,6-dichlorophenyl)carbonyl]amino}-N-piperidin-4-yl-1H-pyrazole-3-carboxamide","DB08142",-6.6
"3-{(3R,4R)-4-methyl-3-[methyl(7H-pyrrolo[2,3-d]pyrimidin-4-yl)amino]piperidin-1-yl}-3-oxopropanenitrile","DB08183",-6.6
"[(4R)-4-(3-HYDROXYPHENYL)-1,6-DIMETHYL-2-THIOXO-1,2,3,4-TETRAHYDROPYRIMIDIN-5-YL](PHENYL)METHANONE","DB08198",-6.6
"Myxopyronin B","DB08226",-6.6
"[N-(3-DIBENZYLCARBAMOYL-OXIRANECARBONYL)-HYDRAZINO]-ACETIC ACID","DB08229",-6.6
"5-[3-(2,5-dimethoxyphenyl)prop-1-yn-1-yl]-6-ethylpyrimidine-2,4-diamine","DB08234",-6.6
"methyl [(1E,5R)-5-{(3S)-3-[(2E,4E)-2,5-dimethylocta-2,4-dienoyl]-2,4-dioxo-3,4-dihydro-2H-pyran-6-yl}hexylidene]carbamate","DB08266",-6.6
"(4S)-4-(2-NAPHTHYLMETHYL)-D-GLUTAMIC ACID","DB08272",-6.6
"4-[4-(4-methoxyphenyl)-5-methyl-1H-pyrazol-3-yl]benzene-1,3-diol","DB08356",-6.6
"PARA-(BENZOYL)-PHENYLALANINE","DB08371",-6.6
"THYMIDINE-5'-THIOPHOSPHATE","DB08432",-6.6
"2-(3-BENZOYLPHENOXY)ETHYL(HYDROXY)FORMAMIDE","DB08524",-6.6
"(2E)-N-{4-[(3-bromophenyl)amino]quinazolin-6-yl}-4-(dimethylamino)but-2-enamide","DB08564",-6.6
"3-[[(METHYLAMINO)SULFONYL]AMINO]-2-OXO-6-PHENYL-N-[3,3,3-TRIFLUORO-1-(1-METHYLETHYL)-2-OXOPHENYL]-1(2H)-PYRIDINE ACETAMIDE","DB08614",-6.6
"IMIDAZO[2,1-A]ISOQUINOLINE-2-CARBOHYDRAZIDE","DB08758",-6.6
"(2S)-2-(4-chlorophenoxy)-3-phenylpropanoic acid","DB08760",-6.6
"Bopindolol","DB08807",-6.6
"Tafluprost","DB08819",-6.6
"MACITENTAN","DB08932",-6.6
"Vorapaxar","DB09030",-6.6
"Fluconazole","DB00196",-6.5
"Olanzapine","DB00334",-6.5
"Hyoscyamine","DB00424",-6.5
"Entacapone","DB00494",-6.5
"Phenindione","DB00498",-6.5
"Lamotrigine","DB00555",-6.5
"Fenoprofen","DB00573",-6.5
"Valaciclovir","DB00577",-6.5
"Sulindac","DB00605",-6.5
"Efavirenz","DB00625",-6.5
"Cinoxacin","DB00827",-6.5
"Dobutamine","DB00841",-6.5
"Bimatoprost","DB00905",-6.5
"Almotriptan","DB00918",-6.5
"Levosimendan","DB00922",-6.5
"Meclofenamic acid","DB00939",-6.5
"Cycrimine","DB00942",-6.5
"Naratriptan","DB00952",-6.5
"Glycopyrrolate","DB00986",-6.5
"Fluvastatin","DB01095",-6.5
"Rosuvastatin","DB01098",-6.5
"Arbutamine","DB01102",-6.5
"Ambenonium","DB01122",-6.5
"Fenoterol","DB01288",-6.5
"Quinupristin","DB01369",-6.5
"Benzoylecgonine","DB01515",-6.5
"Sulfamerazine","DB01581",-6.5
"Cinolazepam","DB01594",-6.5
"Molindone","DB01618",-6.5
"Pipotiazine","DB01621",-6.5
"Roflumilast","DB01656",-6.5
"Thio-Maltopentaose","DB01719",-6.5
"Beta-(2-Naphthyl)-Alanine","DB01766",-6.5
"4-[3-Carboxymethyl-3-(4-Phosphonooxy-Benzyl)-Ureido]-4-[(3-Cyclohexyl-Propyl)-Methyl-Carbamoyl]Butyric Acid","DB01773",-6.5
"Desulfo-Coenzyme A","DB01829",-6.5
"Epothilone D","DB01873",-6.5
"Tl-3-093","DB01891",-6.5
"4-[3-(Cyclopentyloxy)-4-Methoxyphenyl]-2-Pyrrolidinone","DB01954",-6.5
"Cytidine-3'-Monophosphate","DB01961",-6.5
"2-[3,4-Dihydroxy-2-Hydroxymethyl-5-(2-Hydroxy-Nonyl)-Tetrahydro-Furan-2-Yloxy]-6-Hydroxymethyl-Tetra Hydro-Pyran-3,4,5-Triol","DB01998",-6.5
"L-Alpha-Glycerophospho-D-Myo-Inositol-4,5-Bis-Phosphate","DB02028",-6.5
"L-N(Omega)-Nitroarginine-(4r)-Amino-L-Proline Amide","DB02077",-6.5
"Metanitrophenyl-Alpha-D-Galactoside","DB02213",-6.5
"N-[4-Hydroxymethyl-Cyclohexan-6-Yl-1,2,3-Triol]-4,6-Dideoxy-4-Aminoglucopyranoside","DB02218",-6.5
"Immucillin-G","DB02230",-6.5
"[2-Aminomethyl-5-Oxo-4-(4-Oxo-Cyclohexa-2,5-Dienylmethyl)-4,5-Dihydro-Imidazol-1-Yl] -Acetaldehyde","DB02275",-6.5
"Neopterin","DB02385",-6.5
"2-Ribofuranosyl-3-Iodo-2,3-Dihydro-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine","DB02416",-6.5
"Methicillin Acyl-Serine","DB02443",-6.5
"6-Hydroxy-7,8-Dihydro Purine Nucleoside","DB02472",-6.5
"2-Hydroxy-5-({1-[(2-Naphthyloxy)Methyl]-3-Oxoprop-1-Enyl}Amino)Tyrosine","DB02511",-6.5
"Quinonoid 7,8-Tetrahydrobiopterin","DB02562",-6.5
"(4-Hydroxymaltosephenyl)Glycine","DB02675",-6.5
"3'-Uridinemonophosphate","DB02714",-6.5
"Adenosine-5'-Pentaphosphate","DB02738",-6.5
"N-(R-Carboxy-Ethyl)-Alpha-(S)-(2-Phenylethyl)Glycyl-L-Arginine-N-Phenylamide","DB02747",-6.5
"9-Butyl-8-(3,4,5-Trimethoxybenzyl)-9h-Purin-6-Amine","DB02754",-6.5
"Domoic Acid","DB02852",-6.5
"N-[1-(4-Bromophenyl)Ethyl]-5-Fluoro Salicylamide","DB02880",-6.5
"5-{[(2-Amino-9h-Purin-6-Yl)Oxy]Methyl}-2-Pyrrolidinone","DB02898",-6.5
"9-(6-Deoxy-Alpha-L-Talofuranosyl)-6-Methylpurine","DB02934",-6.5
"Penicillin G Acyl-Serine","DB02968",-6.5
"3,5-Dichloro-4-[(4-Hydroxy-3-Isopropylphenoxy)Phenylacetic Acid","DB03176",-6.5
"Phosphoric Acid Mono-[3-Fluoro-5-(5-Methyl-2,4-Dioxo-3,4-Dihydro-2h-Pyrimidin-1-Yl)-Tetrahyro-Furan-2-Ylmethyl] Ester","DB03195",-6.5
"11-Deoxy-Beta-Rhodomycin","DB03219",-6.5
"4-Deoxy-4-((5-Hydroxymethyl-2,3,4-Trihydroxycyclohex-5,6-Enyl)Amino)Fructose","DB03269",-6.5
"4-[(10s,14s,18s)-18-(2-Amino-2-Oxoethyl)-14-(1-Naphthylmethyl)-8,17,20-Trioxo-7,16,19-Triazaspiro[5.14]Icos-11-En-10-Yl]Benzylphosphonic Acid","DB03276",-6.5
"Lactose Sialic Acid","DB03296",-6.5
"Thiamin Phosphate","DB03416",-6.5
"SU9516","DB03428",-6.5
"6-Phenyl-4(R)-(7-Phenyl-Heptanoylamino)-Hexanoic Acid","DB03471",-6.5
"7-Methylguanosine","DB03493",-6.5
"10-CF3C(OH)2-DDACTHF","DB03546",-6.5
"Oxyphenbutazone","DB03585",-6.5
"Pterin-6-Yl-Methyl-Monophosphate","DB03592",-6.5
"(S)-Rolipram","DB03606",-6.5
"3-[Isopropyl(4-Methylbenzoyl)Amino]-5-Phenylthiophene-2-Carboxylic Acid","DB03647",-6.5
"Dibenzofuran-4,6-Dicarboxylic Acid","DB03682",-6.5
"Uridine-5'-Monophosphate","DB03685",-6.5
"9-(2-Deoxy-Beta-D-Ribofuranosyl)-6-Methylpurine","DB03735",-6.5
"P-(2'-Iodo-5'-Thenoyl)Hydrotropic Acid","DB03752",-6.5
"Cytidine-2'-Monophosphate","DB03765",-6.5
"5-Bromothienyldeoxyuridine","DB03804",-6.5
"9-Butyl-8-(3-Methoxybenzyl)-9h-Purin-6-Amine","DB03809",-6.5
"Y-700","DB03841",-6.5
"5-Hydroxymethyluridine-2'-Deoxy-5'-Monophosphate","DB03846",-6.5
"Carboxyethyllumazine","DB03883",-6.5
"Succinamide-Coa","DB03905",-6.5
"Inhibitor Bea322","DB03908",-6.5
"[2-(1-Amino-2-Hydroxy-Propyl)-4-(1h-Indol-3-Ylmethylene)-5-Oxo-4,5-Dihydro-Imidazol-1-Yl]-Acetaldehyde","DB03914",-6.5
"Deacetoxycephalosporin-C","DB03938",-6.5
"9-(6-Deoxy-Beta-D-Allofuranosyl)-6-Methylpurine","DB03952",-6.5
"Morpholine-4-Carboxylic Acid [1-(2-Benzylsulfanyl-1-Formyl-Ethylcarbamoyl)-2-Phenyl-Ethyl]-Amide","DB03984",-6.5
"2'-(4-Dimethylaminophenyl)-5-(4-Methyl-1-Piperazinyl)-2,5'-Bi-Benzimidazole","DB04011",-6.5
"(5-Methyl-6-Oxo-1,6-Dihydro-Pyridin-3-Yl)-1,2-Dideoxy-Ribofuranose-5-Monophosphate","DB04060",-6.5
"Fudp","DB04068",-6.5
"1,4-Deoxy-4-((5-Hydroxymethyl-2,3,4-Trihydroxycyclohex-5-Enyl)Amino)Fructose","DB04164",-6.5
"Matairesinol","DB04200",-6.5
"1-Deaza-Adenosine","DB04218",-6.5
"9-(5,5-Difluoro-5-Phosphonopentyl)Guanine","DB04260",-6.5
"3-(7-Hydroxy-8-Ribityllumazine-6-Yl) Propionic Acid","DB04262",-6.5
"2-[(Formyl-Hydroxy-Amino)-Methyl]-Heptanoic Acid [1-(2-Hydroxymethyl-Pyrrolidine-1-Carbonyl)-2-Methyl-Propyl]-Amide","DB04310",-6.5
"Bilh 434","DB04330",-6.5
"N''-{3-[(3s,8ar)-1,4-Dioxooctahydropyrrolo[1,2-a]Pyrazin-3-Yl]Propyl}Guanidine","DB04433",-6.5
"BVDU-MP","DB04438",-6.5
"Lactose","DB04465",-6.5
"2'-Monophosphoadenosine-5'-Diphosphoribose","DB04497",-6.5
"Dipyrromethane Cofactor","DB04517",-6.5
"Biphenylalanine","DB04639",-6.5
"CBZ-LEU-LEU-TYR-CH2F","DB04653",-6.5
"OLOMOUCINE II","DB04662",-6.5
"BETA-METHYLLACTOSIDE","DB04681",-6.5
"(E)-(S)-4-[(S)-4-METHYL-2-((S)-3-METHYL-2{(S)-2-[(5-METHYL-ISOXAZOLE-3- CARBONYL)-AMINO]-PROPIONYLAMINO}-BUTYRYLAMINO)-PENTANOYLAMINO]-5-((S)-2- OXO-PYRROLIDIN-3-YL)-PENT-2-ENOIC ACID ETHYL ESTER","DB04710",-6.5
"Iodipamide","DB04711",-6.5
"5-QUINOXALIN-6-YLMETHYLENE-THIAZOLIDINE-2,4-DIONE","DB04769",-6.5
"Dantron","DB04816",-6.5
"Febuxostat","DB04854",-6.5
"Darusentan","DB04883",-6.5
"NCX 701","DB05409",-6.5
"Telaprevir","DB05521",-6.5
"Rufinamide","DB06201",-6.5
"Doripenem","DB06211",-6.5
"Ambrisentan","DB06403",-6.5
"1-[1-(3-aminophenyl)-3-tert-butyl-1H-pyrazol-5-yl]-3-phenylurea","DB06883",-6.5
"N-BENZYLOXYCARBONYL-ALA-PRO-3-AMINO-4-PHENYL-BUTAN-2-OL","DB06886",-6.5
"[(5R)-5-(2,3-dibromo-5-ethoxy-4-hydroxybenzyl)-4-oxo-2-thioxo-1,3-thiazolidin-3-yl]acetic acid","DB06998",-6.5
"4-(6-{[(1R)-1-(hydroxymethyl)propyl]amino}imidazo[1,2-b]pyridazin-3-yl)benzoic acid","DB07125",-6.5
"5-phenyl-1H-indazol-3-amine","DB07161",-6.5
